id,docket,party,itemName,erpItemCode,rmItemCode,productCostActual,productCostExpected,productStatus,costActual,costExpected,costStatus,qrStatus,vaPercent,quotedRate
"cmraox5kl01f6o0v3ndv0nbfh","GMD/2026-27/065","LCC Projects Limited","Providing and Supplying DI Sluice Valves PN : 16
 Manual Operated Resilant Seated
 Flange Drilling as pe IS 9523 PN 16450 MM","FSD040159","","","","NO_BOM_FOR_CODE","","","NULL_BOTH","","20",""
"cmraox5kl01f3o0v30efm1t08","GMD/2026-27/065","LCC Projects Limited","Providing and Supplying DI Sluice Valves PN : 16
 Manual Operated Resilant Seated
 Flange Drilling as pe IS 9523 PN 16300 MM","FSD040003","RCB040002","","","NULL_BOTH","","","NULL_BOTH","","20",""
"cmraox5kl01ezo0v38suhbyzo","GMD/2026-27/065","LCC Projects Limited","Providing and Supplying DI Sluice Valves PN : 16
 Manual Operated Resilant Seated
 Flange Drilling as pe IS 9523 PN 16150 MM","FSD040002","RSD110023","","","NULL_BOTH","","","NULL_BOTH","","25",""
"cmraox5kl01eyo0v3gycq4xr7","GMD/2026-27/065","LCC Projects Limited","Providing and Supplying DI Sluice Valves PN : 16
 Manual Operated Resilant Seated
 Flange Drilling as pe IS 9523 PN 16100 MM","FSD040001","RSD110001","","","NULL_BOTH","","","NULL_BOTH","","25",""
"cmraox5kl01f9o0v3ra5i7ax7","GMD/2026-27/065","LCC Projects Limited","Providing and Supplying DI Sluice Valves PN : 16
 Manual Operated Resilant Seated
 Flange Drilling as pe IS 9523 PN 16400 MM","FSD040037","","","","NO_BOM_FOR_CODE","","","NULL_BOTH","","20",""
"cmraox5kl01f5o0v34yizre9d","GMD/2026-27/065","LCC Projects Limited","Providing and Supplying DI Sluice Valves PN : 16
 Manual Operated Resilant Seated
 Flange Drilling as pe IS 9523 PN 16400 MM","FSD040037","","","","NO_BOM_FOR_CODE","","","NULL_BOTH","","20",""
"cmraox5kl01fao0v3rmes6b6n","GMD/2026-27/065","LCC Projects Limited","DI SLUICE VALVE 300MM[I SI mark DI D/F sluice
 Valves as per IS:14846 / BS: 5163 (Latest Edition) of following class and diameter pN-1.6 with Flange
 Drilling as per IS 1538
 300 MM","FSC030272","","","","NO_BOM_FOR_CODE","","","NULL_BOTH","","35",""
"cmraox5kl01f8o0v3i9rok9yg","GMD/2026-27/065","LCC Projects Limited","Providing and Supplying DI Sluice Valves PN : 16
 Manual Operated Resilant Seated
 Flange Drilling as pe IS 9523 PN 16150 MM","FSD040002","RSD110023","","","NULL_BOTH","","","NULL_BOTH","","25",""
"cmraox5kl01f4o0v38papbn9r","GMD/2026-27/065","LCC Projects Limited","Providing and Supplying DI Sluice Valves PN : 16
 Manual Operated Resilant Seated
 Flange Drilling as pe IS 9523 PN 16350 MM","FSD040028","RSD130032","","","NULL_BOTH","","","NULL_BOTH","","20",""
"cmraox5kl01f7o0v37tjm5skv","GMD/2026-27/065","LCC Projects Limited","Providing and Supplying DI Sluice Valves PN : 16
 Manual Operated Resilant Seated
 Flange Drilling as pe IS 9523 PN 16500 MM","FSD040002","RSD110023","","","NULL_BOTH","","","NULL_BOTH","","25",""
"cmraox5kt01gao0v3ffk4m7gr","GMD/2026-27/066","LCC Projects Limited","SITC of double flanged Sluice Valve generally conforming to IS :780 / IS : 2906, (PN 1.0/1.6) with ISI Mark-and including SS Expansion Bellow500 mm dia. Sluice Valve","FSD040074","","","","NO_BOM_FOR_CODE","","","NULL_BOTH","","30",""
"cmraox5kt01gbo0v3tft9bnuz","GMD/2026-27/066","LCC Projects Limited","SITC of double flanged Sluice Valve generally conforming to IS :780 / IS : 2906, (PN 1.0/1.6) with ISI Mark-and including SS Expansion Bellow 600 mm dia. Sluice Valve","FSD040091","","","","NO_BOM_FOR_CODE","110725","","PRODUCT_NULL_BUT_COST_EXISTS","QR_MISMATCH exp~143942.5","30","143940.00"
"cmraox5kt01g7o0v3hzmbpb8y","GMD/2026-27/066","LCC Projects Limited","SITC of double flanged Sluice Valve generally conforming to IS :780 / IS : 2906, (PN 1.0/1.6) with ISI Mark-and including SS Expansion Bellow 250 mm dia. Sluice Valve","FSD040084","","","","NO_BOM_FOR_CODE","","","NULL_BOTH","","20",""
"cmraox5kt01g9o0v3pawq8koq","GMD/2026-27/066","LCC Projects Limited","SITC of double flanged Sluice Valve generally conforming to IS :780 / IS : 2906, (PN 1.0/1.6) with ISI Mark-and including SS Expansion Bellow 450 mm dia. Sluice Valve","FSD040159","","","","NO_BOM_FOR_CODE","","","NULL_BOTH","","20",""
"cmraox5kt01g6o0v3xlrhui1p","GMD/2026-27/066","LCC Projects Limited","SITC of double flanged Sluice Valve generally conforming to IS :780 / IS : 2906, (PN 1.0/1.6) with ISI Mark-and including SS Expansion Bellow 200 mm dia. Sluice Valve","FSC060011","RSD120003","1600","1600","MATCH","1728","1728","MATCH","QR_OK","493.17","10250.00"
